Income,Age,Total_Spend,Recency,Frequency,Customer_Segment,CLV_Tier,Predicted_CLV
67353.0,56,913,180,23,Lost,Mid CLV,972.93506
23718.0,50,81,300,6,At-Risk,Low CLV,72.71758
42429.0,53,67,138,5,At-Risk,Low CLV,59.609035
48948.0,83,902,513,22,Champions,Mid CLV,942.2827
80011.0,46,1395,426,19,Champions,High CLV,1564.1113
20559.0,41,53,474,5,Loyal,Low CLV,56.33601
21994.0,69,22,552,3,Loyal,Low CLV,24.558384
51381.5,67,186,236,8,At-Risk,Low CLV,297.60397
7500.0,51,31,270,5,At-Risk,Low CLV,44.227104
79941.0,50,984,1,15,Lost,Mid CLV,1016.3444
7500.0,30,122,597,7,Loyal,Low CLV,116.6467
41728.0,58,55,401,4,Loyal,Low CLV,45.759354
51381.5,75,124,179,7,At-Risk,Low CLV,107.82569
72550.0,72,1319,598,19,Champions,Mid CLV,1118.7091
65486.0,69,507,48,16,Lost,Low CLV,534.2599
79143.0,62,1693,687,28,Champions,Mid CLV,1509.3142
35790.0,49,72,543,5,Loyal,Low CLV,61.8692
82582.0,49,1617,22,20,Lost,High CLV,1693.166
66373.0,48,606,382,16,Lost,Low CLV,644.2629
82384.0,71,1957,587,26,Champions,High CLV,1882.1505
70287.0,60,1093,453,20,Champions,Mid CLV,1233.3641
27938.0,38,29,62,5,At-Risk,Low CLV,49.26726
51381.5,44,46,377,5,Loyal,Low CLV,64.894394
55954.0,58,518,118,16,Lost,Low CLV,526.52136
75777.0,44,1438,360,20,Champions,Mid CLV,1480.7155
66653.0,51,612,660,18,Champions,Mid CLV,846.5543
61823.0,74,884,496,20,Champions,Mid CLV,809.4427
67680.0,75,606,383,18,Lost,Mid CLV,886.51074
70666.0,78,1076,205,15,Lost,Mid CLV,1030.6007
25721.0,55,34,404,4,Loyal,Low CLV,63.266205
32474.0,59,11,49,3,At-Risk,Low CLV,13.619253
88194.0,47,1274,102,31,Lost,High CLV,1637.8008
69096.0,68,653,275,17,Lost,Low CLV,624.7815
74854.0,56,1562,447,12,Champions,Mid CLV,1260.0574
66991.0,72,1253,656,18,Champions,Mid CLV,1446.7122
51381.5,53,109,653,6,Loyal,Low CLV,126.89517
65031.0,67,863,469,26,Champions,Mid CLV,1092.3636
60631.0,51,661,450,19,Champions,Low CLV,733.83624
28332.0,74,65,60,7,At-Risk,Low CLV,91.27296
40246.0,49,13,557,3,Loyal,Low CLV,30.418966
75251.0,54,1890,671,18,Champions,High CLV,1615.269
75825.0,50,2209,625,22,Champions,High CLV,1915.3322
26326.0,50,18,298,3,At-Risk,Low CLV,22.798067
56046.0,61,692,543,19,Champions,Low CLV,662.6384
29760.0,41,165,669,8,Loyal,Low CLV,159.98865
26304.0,57,16,371,3,Loyal,Low CLV,26.13839
23559.0,53,79,361,6,Loyal,Low CLV,72.45471
38620.0,63,318,414,10,Loyal,Low CLV,345.118
81361.0,39,778,124,26,Lost,Mid CLV,853.5065
29440.0,66,56,322,5,At-Risk,Low CLV,44.64487
36138.0,56,151,348,8,Loyal,Low CLV,188.03584
50388.0,69,372,32,13,At-Risk,Low CLV,367.99277
79593.0,53,1366,48,18,Lost,High CLV,1596.1276
54178.0,59,194,159,9,At-Risk,Low CLV,209.96379
51381.5,69,603,587,17,Champions,Low CLV,628.9367
51381.5,69,18,33,3,At-Risk,Low CLV,23.759832
51381.5,53,985,218,14,Lost,Low CLV,708.4835
42394.0,54,32,98,4,At-Risk,Low CLV,38.55269
23626.0,56,43,36,7,At-Risk,Low CLV,86.243935
30096.0,43,45,38,5,At-Risk,Low CLV,46.376247
47916.0,66,606,584,17,Champions,Low CLV,602.4598
51813.0,54,63,444,5,Loyal,Low CLV,68.277214
78497.0,75,978,210,24,Lost,Mid CLV,1290.6283
50150.0,43,410,374,14,Loyal,Low CLV,417.2213
47823.0,66,72,341,5,At-Risk,Low CLV,58.536633
34554.0,67,55,91,5,At-Risk,Low CLV,52.102467
85693.0,47,1169,435,25,Champions,Mid CLV,1217.9088
65846.0,81,1120,408,15,Champions,Mid CLV,1007.1975
87195.0,67,1097,52,19,Lost,Mid CLV,1188.585
24594.0,47,29,201,4,At-Risk,Low CLV,34.910854
49096.0,62,187,278,9,At-Risk,Low CLV,205.74722
52413.0,57,910,512,22,Champions,Mid CLV,911.23956
38557.0,48,145,557,7,Loyal,Low CLV,120.26915
89058.0,66,850,569,13,Champions,Mid CLV,1372.1917
77298.0,47,969,239,23,Lost,Mid CLV,1020.59186
68126.0,35,1820,596,16,Champions,High CLV,1562.9865
57288.0,63,608,4,17,Lost,Low CLV,563.927
86037.0,35,730,543,24,Champions,Low CLV,740.889
43974.0,46,551,564,16,Champions,Low CLV,587.30774
50785.0,64,114,292,6,At-Risk,Low CLV,83.61095
90765.0,56,1724,156,15,Lost,High CLV,1809.4978
36550.0,48,577,495,15,Loyal,Low CLV,547.5081
30753.0,59,81,353,5,Loyal,Low CLV,60.500168
21918.0,57,33,227,5,At-Risk,Low CLV,46.425674
56129.0,73,660,374,18,Lost,Low CLV,564.9089
32557.0,59,80,125,6,At-Risk,Low CLV,69.34641
19510.0,41,30,298,4,At-Risk,Low CLV,33.49951
30992.0,50,43,433,4,Loyal,Low CLV,42.28076
101970.0,43,1135,474,27,Champions,Mid CLV,1262.3386
71488.0,61,559,496,14,Loyal,Mid CLV,1036.843
79607.0,42,1923,434,15,Champions,High CLV,1631.6288
54348.0,73,90,21,6,At-Risk,Low CLV,69.73608
51381.5,65,404,353,14,Loyal,Low CLV,387.83752
77376.0,70,661,50,19,Lost,Low CLV,759.14197
62998.0,74,463,272,14,Lost,Low CLV,685.9098
61331.0,68,632,476,18,Champions,Low CLV,688.174
73448.0,57,725,139,18,Lost,Low CLV,776.08905
51381.5,63,725,322,18,Lost,Low CLV,715.22614
41551.0,62,279,319,11,At-Risk,Low CLV,291.82632
62981.0,59,1482,469,22,Champions,Mid CLV,1137.857
9548.0,50,29,690,4,Loyal,Low CLV,48.643295
33762.0,67,106,357,6,Loyal,Low CLV,93.04703
35860.0,53,49,41,4,At-Risk,Low CLV,48.89137
36921.0,61,38,336,5,At-Risk,Low CLV,60.481388
92859.0,34,2077,618,21,Champions,High CLV,1967.1747
65104.0,50,1053,227,15,Lost,Mid CLV,954.281
86111.0,64,1385,436,22,Champions,Mid CLV,1456.3542
68352.0,52,871,305,22,Lost,Mid CLV,1076.609
41883.0,38,312,467,9,Loyal,Low CLV,245.52977
59809.0,50,877,619,12,Champions,Low CLV,610.19104
23957.0,51,68,609,5,Loyal,Low CLV,70.20929
38547.0,45,22,305,3,At-Risk,Low CLV,26.719461
35688.0,53,211,676,9,Loyal,Low CLV,210.20088
49605.0,60,127,8,7,At-Risk,Low CLV,121.72817
59354.0,73,459,66,15,Lost,Low CLV,520.42993
65747.0,57,460,114,15,Lost,Low CLV,476.39688
46344.0,54,429,562,13,Loyal,Low CLV,406.8822
34176.0,38,89,48,7,At-Risk,Low CLV,96.50114
61010.0,74,1021,628,24,Champions,Mid CLV,1094.3749
69372.0,77,1381,495,20,Champions,Mid CLV,1378.9049
49967.0,68,306,356,12,Loyal,Low CLV,333.42172
60199.0,48,18,290,3,At-Risk,Low CLV,47.496502
55375.0,49,162,255,8,At-Risk,Low CLV,161.50397
80317.0,71,1231,313,17,Lost,Mid CLV,1209.0516
30523.0,68,13,363,3,Loyal,Low CLV,23.917212
70356.0,81,1706,601,25,Champions,High CLV,1587.4635
23228.0,42,121,175,7,At-Risk,Low CLV,96.4702
74165.0,51,1293,424,19,Champions,Mid CLV,1264.7599
157243.0,53,1608,120,22,Lost,High CLV,1579.7915
43482.0,60,88,228,6,At-Risk,Low CLV,74.632675
62551.0,73,421,223,17,Lost,Low CLV,748.21234
52332.0,67,259,305,11,At-Risk,Low CLV,310.73828
66951.0,38,1117,239,14,Lost,Mid CLV,816.0558
26091.0,69,89,124,6,At-Risk,Low CLV,64.91294
33456.0,61,36,69,4,At-Risk,Low CLV,36.48094
28718.0,44,57,351,5,At-Risk,Low CLV,55.89609
50447.0,56,148,69,7,At-Risk,Low CLV,115.62379
53537.0,67,93,150,6,At-Risk,Low CLV,78.847626
52074.0,59,119,86,6,At-Risk,Low CLV,133.30028
80427.0,51,1835,655,27,Champions,High CLV,1842.3406
83837.0,78,1318,560,24,Champions,Mid CLV,1378.654
38853.0,56,45,37,5,At-Risk,Low CLV,45.999737
38285.0,67,10,5,3,At-Risk,Low CLV,21.94966
78497.0,75,978,210,24,Lost,Mid CLV,1290.6283
51650.0,50,191,49,9,At-Risk,Low CLV,194.88237
16248.0,38,57,50,6,At-Risk,Low CLV,55.717724
66835.0,80,1033,274,23,Lost,Mid CLV,988.81805
30477.0,42,66,158,5,At-Risk,Low CLV,48.044907
28249.0,65,43,14,5,At-Risk,Low CLV,49.33789
25271.0,43,50,571,4,Loyal,Low CLV,60.518135
32303.0,56,39,113,5,At-Risk,Low CLV,49.667694
61286.0,60,608,331,16,Lost,Low CLV,549.0607
74068.0,50,1581,467,23,Champions,Mid CLV,1498.8751
45759.0,62,68,491,5,Loyal,Low CLV,61.685993
24882.0,48,80,658,4,Loyal,Low CLV,64.62478
66973.0,37,1282,408,27,Champions,Mid CLV,1197.3707
38872.0,38,91,395,6,Loyal,Low CLV,80.65176
51148.0,53,315,496,12,Loyal,Low CLV,348.01794
31353.0,49,31,182,4,At-Risk,Low CLV,35.60825
69661.0,46,834,47,22,Lost,Mid CLV,844.6024
80067.0,72,1600,283,16,Lost,High CLV,1609.8656
86718.0,72,1270,528,16,Champions,Mid CLV,1343.7261
46854.0,53,263,90,9,At-Risk,Low CLV,219.95374
69142.0,74,535,0,16,Lost,Low CLV,524.999
75922.0,58,1295,202,17,Lost,Mid CLV,1042.5248
63693.0,48,1150,258,26,Lost,Mid CLV,1144.1898
102160.0,49,1240,604,26,Champions,Mid CLV,1268.1598
40637.0,61,38,347,4,At-Risk,Low CLV,44.18999
18890.0,42,35,596,3,Loyal,Low CLV,50.484695
29604.0,38,53,203,4,At-Risk,Low CLV,41.218266
48721.0,63,293,412,11,Loyal,Low CLV,307.47653
44794.0,60,65,21,5,At-Risk,Low CLV,52.697407
64497.0,72,1804,657,24,Champions,High CLV,1703.0638
46097.0,70,241,455,10,Loyal,Low CLV,230.19011
77972.0,72,1101,103,19,Lost,Mid CLV,1137.761
44377.0,58,264,632,11,Loyal,Low CLV,226.71228
46014.0,52,541,524,16,Loyal,Low CLV,553.2081
70951.0,41,1198,421,16,Champions,Mid CLV,1171.8525
41443.0,49,482,89,14,At-Risk,Low CLV,437.7037
52195.0,48,17,48,3,At-Risk,Low CLV,22.656954
83790.0,78,1615,226,24,Lost,High CLV,1608.0225
44551.0,72,285,302,10,At-Risk,Low CLV,233.87453
69508.0,46,1135,592,26,Champions,Mid CLV,1441.9684
45204.0,38,114,79,6,At-Risk,Low CLV,77.646614
72460.0,57,1047,227,15,Lost,Mid CLV,1136.4021
77622.0,56,714,76,20,Lost,Mid CLV,819.9404
30732.0,46,185,540,9,Loyal,Low CLV,212.10706
63887.0,64,1245,659,27,Champions,Mid CLV,1240.9706
42011.0,48,189,460,8,Loyal,Low CLV,170.92
51369.0,50,576,612,14,Loyal,Low CLV,482.49713
51537.0,74,1103,567,15,Champions,Mid CLV,980.07697
79930.0,54,1753,690,16,Champions,High CLV,1744.388
34320.0,40,17,133,3,At-Risk,Low CLV,25.690172
37070.0,60,433,466,14,Loyal,Low CLV,416.40414
81975.0,64,1588,540,13,Champions,Mid CLV,1337.0334
38590.0,55,22,410,3,Loyal,Low CLV,27.890947
15033.0,75,19,74,4,At-Risk,Low CLV,21.66715
62745.0,61,1117,463,26,Champions,Mid CLV,1137.8292
22212.0,51,69,202,6,At-Risk,Low CLV,64.780365
23661.0,44,23,207,4,At-Risk,Low CLV,34.910854
79761.0,68,605,268,18,Lost,Mid CLV,836.25806
7500.0,53,57,185,7,At-Risk,Low CLV,83.39543
73455.0,58,2088,244,21,Lost,High CLV,1624.9675
64961.0,68,1009,553,14,Champions,Mid CLV,985.90857
22804.0,55,26,333,4,At-Risk,Low CLV,43.29846
73687.0,36,1627,213,21,Lost,Mid CLV,1515.5178
61074.0,68,1102,681,24,Champions,Mid CLV,1160.0105
31686.0,62,17,24,4,At-Risk,Low CLV,36.390026
80134.0,54,1690,405,14,Champions,High CLV,1715.164
75027.0,73,1390,536,19,Champions,Mid CLV,1366.0745
67546.0,38,2126,667,19,Champions,High CLV,2041.408
65176.0,57,1531,608,21,Champions,Mid CLV,1298.4108
31160.0,51,64,286,5,At-Risk,Low CLV,50.542038
29938.0,41,26,245,4,At-Risk,Low CLV,35.277557
102692.0,52,1112,450,28,Champions,Mid CLV,1196.7062
26490.0,68,210,645,9,Loyal,Low CLV,222.54462
75702.0,59,1148,669,21,Champions,Mid CLV,1383.0938
30899.0,52,33,624,4,Loyal,Low CLV,53.917896
63342.0,65,1101,621,16,Champions,Mid CLV,1069.766
45989.0,62,322,615,12,Loyal,Low CLV,371.23383
18701.0,62,44,390,6,Loyal,Low CLV,68.18949
40737.0,69,17,203,3,At-Risk,Low CLV,22.962515
15287.0,47,31,627,4,Loyal,Low CLV,44.820724
69674.0,58,845,403,22,Champions,Mid CLV,872.844
44159.0,56,275,12,11,At-Risk,Low CLV,278.60242
37717.0,48,25,583,3,Loyal,Low CLV,36.292755
43776.0,74,275,511,11,Loyal,Low CLV,301.98563
38179.0,60,90,472,7,Loyal,Low CLV,121.77849
80124.0,63,1495,3,18,Lost,Mid CLV,1523.0118
38097.0,56,184,622,7,Loyal,Low CLV,154.80347
72940.0,56,981,375,12,Lost,Mid CLV,1018.0272
22070.0,56,67,268,6,At-Risk,Low CLV,81.448524
69267.0,73,1635,645,12,Champions,Mid CLV,1429.1569
31788.0,43,60,101,7,At-Risk,Low CLV,96.4702
61905.0,51,231,145,10,At-Risk,Low CLV,261.98584
29315.0,66,48,84,6,At-Risk,Low CLV,57.716156
33378.0,63,99,508,6,Loyal,Low CLV,85.916405
66313.0,63,770,286,21,Lost,Low CLV,758.74506
60714.0,70,957,528,21,Champions,Mid CLV,962.64685
77882.0,45,818,60,11,Lost,Mid CLV,891.5014
69867.0,40,925,453,16,Champions,Mid CLV,1276.019
63841.0,58,908,434,21,Champions,Mid CLV,917.35297
24480.0,45,102,503,7,Loyal,Low CLV,111.68513
51369.0,50,576,612,14,Loyal,Low CLV,482.49713
37760.0,80,317,667,11,Loyal,Low CLV,314.8558
65640.0,52,461,120,14,At-Risk,Low CLV,399.9161
44319.0,51,37,73,5,At-Risk,Low CLV,52.251896
30631.0,52,70,352,6,Loyal,Low CLV,79.72916
75278.0,74,930,516,22,Champions,Mid CLV,1048.3895
50898.0,70,859,537,20,Champions,Low CLV,762.6333
79946.0,60,1478,48,21,Lost,Mid CLV,1347.714
35416.0,77,390,381,13,Loyal,Low CLV,401.08752
32414.0,42,52,360,4,Loyal,Low CLV,46.251568
38361.0,57,137,184,7,At-Risk,Low CLV,110.64341
82497.0,46,1919,606,18,Champions,High CLV,1934.8362
16626.0,55,68,165,6,At-Risk,Low CLV,60.01483
29672.0,61,25,474,3,Loyal,Low CLV,29.800358
55951.0,74,1374,675,20,Champions,Mid CLV,1315.7748
35388.0,38,32,479,4,Loyal,Low CLV,47.440945
42386.0,40,100,532,6,Loyal,Low CLV,82.46492
68627.0,44,825,533,11,Loyal,Mid CLV,1138.2728
57912.0,61,916,104,23,Lost,Mid CLV,1008.269
35246.0,68,62,74,7,At-Risk,Low CLV,106.35048
58821.0,70,728,260,20,Lost,Low CLV,718.1156
46377.0,48,90,120,6,At-Risk,Low CLV,80.93216
39747.0,38,273,77,10,At-Risk,Low CLV,254.87685
23976.0,42,66,184,7,At-Risk,Low CLV,94.70764
80950.0,65,1213,458,22,Champions,High CLV,1625.3909
27038.0,60,107,649,6,Loyal,Low CLV,85.071335
77457.0,79,1157,116,17,Lost,Mid CLV,1332.8739
64100.0,62,546,292,17,Lost,Mid CLV,865.86066
42670.0,34,241,428,10,Loyal,Low CLV,278.6156
12571.0,50,53,162,7,At-Risk,Low CLV,83.39543
22574.0,59,37,244,5,At-Risk,Low CLV,46.425674
51381.5,37,1611,391,23,Champions,Mid CLV,1497.0706
70893.0,50,1508,508,22,Champions,Mid CLV,1428.7639
54198.0,60,235,194,10,At-Risk,Low CLV,234.05962
28839.0,70,32,110,5,At-Risk,Low CLV,45.824806
40321.0,54,102,335,6,At-Risk,Low CLV,78.190674
66503.0,41,401,684,13,Loyal,Low CLV,733.2203
30833.0,75,28,348,4,At-Risk,Low CLV,35.691147
51381.5,56,1052,310,15,Lost,Mid CLV,975.9433
64795.0,55,680,528,18,Champions,Mid CLV,958.5876
34421.0,52,30,363,3,Loyal,Low CLV,29.919998
47025.0,61,20,140,3,At-Risk,Low CLV,32.23587
64325.0,65,1307,507,18,Champions,Mid CLV,1105.8309
40464.0,73,630,534,18,Champions,Low CLV,617.7945
62187.0,69,1283,359,17,Lost,Mid CLV,1072.4988
14849.0,50,65,362,6,Loyal,Low CLV,68.73953
27255.0,42,37,234,4,At-Risk,Low CLV,34.910854
54432.0,76,38,416,4,Loyal,Low CLV,37.72013
29999.0,40,160,501,8,Loyal,Low CLV,176.01352
24072.0,43,23,439,3,Loyal,Low CLV,26.31825
33996.0,37,71,291,5,At-Risk,Low CLV,61.95149
66334.0,70,1161,452,17,Champions,Mid CLV,1022.5137
35178.0,55,59,535,4,Loyal,Low CLV,61.30842
22010.0,43,33,364,5,Loyal,Low CLV,52.722065
62204.0,66,946,655,21,Champions,Mid CLV,1031.6989
75693.0,58,1442,570,21,Champions,Mid CLV,1535.9178
30675.0,54,62,594,4,Loyal,Low CLV,62.556114
83003.0,61,1674,483,21,Champions,High CLV,1647.9431
68655.0,38,1538,688,20,Champions,Mid CLV,1526.9785
41411.0,40,139,204,7,At-Risk,Low CLV,113.74964
55212.0,57,1182,583,17,Champions,Mid CLV,1148.0488
59292.0,76,507,381,16,Lost,Low CLV,602.3032
27190.0,53,18,318,3,At-Risk,Low CLV,31.663494
82623.0,74,940,231,15,Lost,Mid CLV,1258.7551
44300.0,61,42,371,4,Loyal,Low CLV,44.18999
84835.0,56,1190,13,14,Lost,Mid CLV,1123.7683
30372.0,55,44,551,5,Loyal,Low CLV,59.65613
33181.0,50,16,177,3,At-Risk,Low CLV,29.074629
71113.0,69,835,194,22,Lost,Mid CLV,1069.8956
71952.0,40,1443,535,20,Champions,Mid CLV,1489.5553
69759.0,60,1029,244,15,Lost,Mid CLV,1273.5708
72099.0,52,1188,610,17,Champions,Mid CLV,1299.7605
60000.0,50,1277,554,19,Champions,Mid CLV,1027.3236
38643.0,48,49,212,5,At-Risk,Low CLV,54.46342
50737.0,71,99,414,6,Loyal,Low CLV,303.54898
68462.0,57,1670,564,14,Champions,Mid CLV,1070.2627
65073.0,83,900,313,13,Lost,Mid CLV,916.9934
46681.0,78,425,264,14,At-Risk,Low CLV,459.88177
78618.0,69,2153,639,21,Champions,High CLV,1807.8641
62187.0,57,636,99,18,Lost,Low CLV,615.8892
28442.0,48,57,125,7,At-Risk,Low CLV,97.30739
37717.0,48,25,583,3,Loyal,Low CLV,36.292755
51479.0,59,494,548,15,Loyal,Low CLV,613.95447
54803.0,57,693,677,17,Champions,Low CLV,656.0127
79530.0,66,1348,408,25,Champions,Mid CLV,1372.5096
31615.0,50,51,470,5,Loyal,Low CLV,60.361767
72025.0,64,1932,589,15,Champions,Mid CLV,1468.7517
52614.0,51,990,575,14,Champions,Mid CLV,859.3853
35684.0,42,30,68,4,At-Risk,Low CLV,36.62072
48178.0,51,254,609,10,Loyal,Low CLV,265.98883
29548.0,56,29,304,4,At-Risk,Low CLV,48.908794
63810.0,60,1371,595,19,Champions,Mid CLV,1289.314
38578.0,54,73,372,6,Loyal,Low CLV,78.190674
46098.0,51,120,680,7,Loyal,Low CLV,143.9939
22585.0,56,81,468,4,Loyal,Low CLV,56.813572
30279.0,37,37,546,4,Loyal,Low CLV,45.411076
66426.0,65,1377,270,18,Lost,Mid CLV,971.98425
30822.0,57,51,380,4,Loyal,Low CLV,40.408382
33581.0,57,17,537,3,Loyal,Low CLV,30.418966
19986.0,41,22,227,3,At-Risk,Low CLV,20.53573
27421.0,72,324,564,11,Loyal,Low CLV,289.07928
35688.0,53,211,676,9,Loyal,Low CLV,210.20088
36143.0,45,19,91,3,At-Risk,Low CLV,36.085236
10245.0,55,41,410,5,Loyal,Low CLV,75.47445
43795.0,58,492,256,14,Lost,Low CLV,499.3608
63381.0,66,1005,632,22,Champions,Mid CLV,1116.9968
38823.0,77,114,668,6,Loyal,Low CLV,95.01564
83664.0,58,1173,417,16,Champions,Mid CLV,1373.159
90300.0,47,1738,177,19,Lost,High CLV,1766.8052
62499.0,47,222,202,10,At-Risk,Low CLV,269.1377
74293.0,33,1127,56,15,Lost,Mid CLV,1027.775
51012.0,80,209,437,9,Loyal,Low CLV,211.0954
70777.0,58,787,124,20,Lost,Mid CLV,883.393
68682.0,35,1598,266,23,Lost,Mid CLV,1538.7205
43824.0,55,186,652,8,Loyal,Low CLV,181.13928
15345.0,42,47,667,4,Loyal,Low CLV,53.367916
23442.0,39,27,552,4,Loyal,Low CLV,42.513
14515.0,46,96,597,7,Loyal,Low CLV,136.4964
31395.0,70,64,463,6,Loyal,Low CLV,80.000595
75276.0,61,1040,640,22,Champions,Mid CLV,1292.468
42373.0,52,163,318,8,At-Risk,Low CLV,172.69829
30507.0,66,343,475,10,Loyal,Low CLV,234.98558
55521.0,71,446,250,15,Lost,Low CLV,551.90564
48006.0,61,41,20,4,At-Risk,Low CLV,46.945312
27213.0,54,70,668,6,Loyal,Low CLV,87.67108
65808.0,55,272,30,11,At-Risk,Low CLV,278.94333
30351.0,52,46,388,5,Loyal,Low CLV,54.795044
50437.0,63,490,620,16,Loyal,Low CLV,581.081
23616.0,44,79,589,6,Loyal,Low CLV,107.59344
53858.0,50,915,597,13,Champions,Low CLV,514.5317
66465.0,71,1485,456,32,Champions,Mid CLV,1308.9989
46923.0,39,369,676,13,Loyal,Low CLV,385.89154
75072.0,64,1073,522,17,Champions,Mid CLV,1204.2688
75865.0,83,1242,90,18,Lost,Mid CLV,1100.498
19789.0,51,78,221,6,At-Risk,Low CLV,70.27305
80134.0,32,1378,135,20,Lost,Mid CLV,1427.6815
91065.0,45,1474,492,25,Champions,High CLV,1570.8251
49505.0,55,751,481,20,Champions,Low CLV,683.1634
37401.0,53,48,54,5,At-Risk,Low CLV,46.54081
30096.0,43,45,38,5,At-Risk,Low CLV,46.376247
18492.0,44,10,24,3,At-Risk,Low CLV,17.698912
82584.0,52,1435,390,15,Champions,High CLV,1728.1979
93027.0,85,2119,442,22,Champions,High CLV,2104.957
48686.0,73,20,207,3,At-Risk,Low CLV,20.742884
92910.0,40,1795,66,26,Lost,Mid CLV,1277.4515
75433.0,37,1188,85,17,Lost,Mid CLV,1243.0016
10404.0,37,43,56,5,At-Risk,Low CLV,43.894657
61314.0,58,1008,430,22,Champions,Mid CLV,1014.4443
84865.0,65,1688,416,15,Champions,High CLV,1612.2766
42387.0,37,684,608,16,Champions,Low CLV,631.63525
67309.0,59,1082,522,24,Champions,Mid CLV,1180.2139
75236.0,62,1068,216,24,Lost,Mid CLV,1003.26245
30015.0,56,57,147,5,At-Risk,Low CLV,49.667694
50943.0,70,46,373,4,Loyal,Low CLV,39.749184
67272.0,60,733,190,20,Lost,Mid CLV,787.24506
51529.0,77,467,295,15,Lost,Low CLV,482.4909
32011.0,55,122,311,7,At-Risk,Low CLV,106.83321
7500.0,40,36,507,5,Loyal,Low CLV,56.26129
28691.0,37,34,360,4,Loyal,Low CLV,42.869473
56223.0,78,156,191,8,At-Risk,Low CLV,158.96815
18100.0,80,14,327,3,At-Risk,Low CLV,16.977615
30279.0,37,37,546,4,Loyal,Low CLV,45.411076
20130.0,52,34,104,4,At-Risk,Low CLV,30.654713
23295.0,67,20,351,3,At-Risk,Low CLV,23.917212
42618.0,54,192,263,9,At-Risk,Low CLV,196.1084
81246.0,62,1379,182,16,Lost,Mid CLV,1527.681
24027.0,50,48,385,5,Loyal,Low CLV,54.795044
55707.0,73,428,189,14,At-Risk,Low CLV,529.98236
57959.0,71,868,423,22,Champions,Mid CLV,875.9834
56796.0,57,1001,498,24,Champions,Mid CLV,986.4249
36230.0,55,59,255,6,At-Risk,Low CLV,74.632675
70829.0,46,431,210,14,At-Risk,Low CLV,702.39746
65991.0,50,971,660,24,Champions,Mid CLV,1170.6436
38988.0,54,348,678,12,Loyal,Low CLV,352.22217
89572.0,60,2059,652,23,Champions,High CLV,2062.9995
42207.0,42,265,454,10,Loyal,Low CLV,251.37921
50300.0,74,270,35,11,At-Risk,Low CLV,304.90305
66664.0,44,1289,642,18,Champions,Mid CLV,1289.6797
60597.0,62,893,179,12,Lost,Low CLV,576.83154
70165.0,77,926,280,21,Lost,Mid CLV,1044.5011
50520.0,68,135,152,7,At-Risk,Low CLV,108.69867
80124.0,63,1495,3,18,Lost,Mid CLV,1523.0118
33183.0,51,120,125,7,At-Risk,Low CLV,103.23562
66582.0,57,1288,118,19,Lost,Mid CLV,1050.9229
75261.0,71,1743,432,16,Champions,High CLV,1587.4148
31880.0,56,15,606,3,Loyal,Low CLV,39.6479
53790.0,75,542,115,17,Lost,Low CLV,537.80237
49269.0,55,890,683,22,Champions,Mid CLV,918.5242
61456.0,51,1388,459,29,Champions,Mid CLV,1337.7386
37406.0,46,17,262,3,At-Risk,Low CLV,25.323473
56937.0,45,906,694,23,Champions,Mid CLV,942.16016
38415.0,48,44,543,4,Loyal,Low CLV,43.88528
